CREATED,TCA,MIN_RNG (km),PC,RELATIVITY VEL (km/s),RADIAL DISTANCE (km),SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT_1_EXCL_RADII (m),SAT1_TLE_LINE1,SAT1_TLE_LINE2,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT_2_EXCL_RADII (m),SAT2_TLE_LINE1,SAT2_TLE_LINE2
2026-2-1 19:2:38.782351,2026-02-05T05:00:09.041384203124998464Z,2.1695,1.5585e-06,11.6124,-1.9983,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,1684,TITAN 3C TRANSTAGE DEB,DEBRIS,1.00,1 01684U 65082AX  26031.92743713  .00001177  00000-0  30230-3 0  9995,2 01684  32.2130 234.5217 0168212 321.9514  36.9348 14.39976998122880
2026-2-1 19:2:38.782351,2026-02-03T08:34:55.309023363281248448Z,3.0160,1.2691e-06,14.6097,-2.9176,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,12740,COSMOS 1275 DEB,DEBRIS,1.00,1 12740U 81053CH  26032.21682711  .00004688  00000-0  14777-2 0  9996,2 12740  82.8391 315.5240 0010250 182.5715 330.6743 14.40164051277743
2026-2-1 19:2:38.782351,2026-02-03T11:04:54.564333421874998464Z,3.3067,1.0729e-06,14.5849,-3.1069,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,12740,COSMOS 1275 DEB,DEBRIS,1.00,1 12740U 81053CH  26032.21682711  .00004688  00000-0  14777-2 0  9996,2 12740  82.8391 315.5240 0010250 182.5715 330.6743 14.40164051277743
2026-2-1 19:2:38.782351,2026-02-03T11:50:48.123857958007810944Z,1.2242,2.9741e-05,12.9702,-0.5671,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,19038,COSMOS 1937,PAYLOAD,5.00,1 19038U 88029A   26032.34796443  .00000167  00000-0  66137-4 0  9992,2 19038  74.0472 353.9015 0022749 114.7065  46.3633 14.36108244980242
2026-2-1 19:2:38.782351,2026-02-07T11:47:24.733126146484373464Z,3.2437,3.3807e-06,13.4715,-0.5507,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,19039,SL-8 R/B,ROCKET BODY,3.00,1 19039U 88029B   26032.04776565  .00000285  00000-0  98798-4 0  9992,2 19039  74.0454 253.1967 0023053   2.2208 357.9045 14.39932944983672
2026-2-1 19:2:38.782351,2026-02-06T21:33:47.04791496484374848Z,3.9380,3.3479e-06,12.7146,1.3776,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26032.39787311  .00000600  00000-0  17947-3 0  9994,2 25319  86.4001 358.5192 0002978  34.0366 326.1024 14.41276722456078
2026-2-1 19:2:38.782351,2026-02-06T23:13:45.879488451171873472Z,1.5996,9.8632e-06,12.7212,1.3659,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26032.39787311  .00000600  00000-0  17947-3 0  9994,2 25319  86.4001 358.5192 0002978  34.0366 326.1024 14.41276722456078
2026-2-1 19:2:38.782351,2026-02-07T00:03:45.32589958398437344Z,3.2443,6.1609e-06,12.6966,-0.2769,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26032.39787311  .00000600  00000-0  17947-3 0  9994,2 25319  86.4001 358.5192 0002978  34.0366 326.1024 14.41276722456078
2026-2-1 19:2:38.782351,2026-02-07T00:53:44.710817796874998464Z,2.4321,6.6099e-06,12.7278,1.3553,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26032.39787311  .00000600  00000-0  17947-3 0  9994,2 25319  86.4001 358.5192 0002978  34.0366 326.1024 14.41276722456078
2026-2-1 19:2:38.782351,2026-02-07T01:43:44.158426744628904704Z,0.4690,1.7521e-04,12.7032,-0.2660,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26032.18762929  .00000269  00000-0  97073-4 0  9998,2 47699  98.3805 106.8353 0001226 196.6136 163.5013 14.41082973259069,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26032.39787311  .00000600  00000-0  17947-3 0  9994,2 25319  86.4001 358.5192 0002978  34.0366 326.1024 14.41276722456078
